OrderNo,OrderDate,Month,PropertyID,ProductID,ProductCategory,ProductName,Quantity,ProductPrice,OrderTotal
1,01/01/2023,Jan-23,7,41,Furnishings,Office Chair,1,85,85
2,01/01/2023,Jan-23,5,54,Furnishings,Chest of Drawers,2,150,300
3,01/01/2023,Jan-23,5,71,Maintenance,Hammer,2,17,34
4,01/01/2023,Jan-23,9,3,Housekeeping,Washcloth,2,3,6
5,01/01/2023,Jan-23,2,45,Furnishings,Computer Desk,3,102,306
6,01/01/2023,Jan-23,6,94,Public Areas,Monitor,2,70,140
7,01/01/2023,Jan-23,5,35,Furnishings,Tissue Box,2,25,50
8,01/02/2023,Jan-23,6,93,Public Areas,Terminal,1,85,85
9,01/02/2023,Jan-23,4,93,Public Areas,Terminal,3,85,255
10,01/02/2023,Jan-23,2,61,Maintenance,Tape Measure,2,8,16
11,01/02/2023,Jan-23,2,24,Office Supplies,Envelopes (Letter),1,24,24
12,01/02/2023,Jan-23,8,23,Office Supplies,Printer Toner,1,85,85
13,01/02/2023,Jan-23,2,24,Office Supplies,Envelopes (Letter),2,24,48
14,01/03/2023,Jan-23,4,94,Public Areas,Monitor,3,70,210
15,01/03/2023,Jan-23,6,20,Office Supplies,Pens,2,30,60
16,01/03/2023,Jan-23,2,94,Public Areas,Monitor,3,70,210
17,01/03/2023,Jan-23,9,84,Public Areas,Tall Chair,1,75,75
18,01/03/2023,Jan-23,9,89,Public Areas,Photograph,2,45,90
19,01/03/2023,Jan-23,1,6,Housekeeping,Conditioner,1,40,40
20,01/03/2023,Jan-23,8,57,Furnishings,Wireless Router,3,70,210
21,01/03/2023,Jan-23,4,70,Maintenance,Door Lock,2,117,234
22,01/04/2023,Jan-23,4,23,Office Supplies,Printer Toner,2,85,170
23,01/04/2023,Jan-23,2,52,Furnishings,Ironing Board,1,18,18
24,01/04/2023,Jan-23,7,84,Public Areas,Tall Chair,2,75,150
25,01/04/2023,Jan-23,10,74,Public Areas,Large Plant,1,35,35
26,01/05/2023,Jan-23,10,33,Furnishings,Towel Rack,3,10,30
27,01/05/2023,Jan-23,5,73,Maintenance,Mop,2,15,30
28,01/05/2023,Jan-23,2,5,Housekeeping,Moisturizer,1,40,40
29,01/05/2023,Jan-23,1,79,Public Areas,Coffee Table,2,103,206
30,01/06/2023,Jan-23,10,44,Furnishings,Floor Lamp,1,55,55
31,01/06/2023,Jan-23,9,64,Maintenance,Gaffer's Tape,1,27,27
32,01/06/2023,Jan-23,8,10,Housekeeping,Toilet Paper,2,19,38
33,01/06/2023,Jan-23,1,87,Public Areas,End Table,1,30,30
34,01/06/2023,Jan-23,2,37,Furnishings,Bed (King),2,300,600
35,01/06/2023,Jan-23,3,23,Office Supplies,Printer Toner,3,85,255
36,01/06/2023,Jan-23,8,37,Furnishings,Bed (King),3,300,900
37,01/06/2023,Jan-23,10,30,Office Supplies,Permanent Markers,3,6,18
38,01/06/2023,Jan-23,9,83,Public Areas,Bar Stool,2,60,120
