DateKey,HotelKey,ExpenseCategoryKey,ManagerKey,MonthlyAmountGBP,AnnualAmountGBP
20090101,10,8,-1,34153.36,624768
20090201,10,8,-1,47685.3,624768
20090301,10,8,-1,46961.35,624768
20090401,10,8,-1,52268.81,624768
20090501,10,8,-1,48091.79,624768
20090601,10,8,-1,66460.29,624768
20090701,10,8,-1,70248.82,624768
20090801,10,8,-1,56410.22,624768
20090901,10,8,-1,79526.07,624768
20091001,10,8,-1,57721.36,624768
20091101,10,8,-1,34582.77,624768
20091201,10,8,-1,30657.87,624768
20090101,10,6,-1,6830.69,124954
20090201,10,6,-1,9537.09,124954
20090301,10,6,-1,9392.3,124954
20090401,10,6,-1,10453.79,124954
20090501,10,6,-1,9618.39,124954
20090601,10,6,-1,13292.1,124954
20090701,10,6,-1,14049.81,124954
20090801,10,6,-1,11282.08,124954
20090901,10,6,-1,15905.27,124954
20091001,10,6,-1,11544.31,124954
20091101,10,6,-1,6916.58,124954
20091201,10,6,-1,6131.59,124954
20090101,10,3,-1,6071.72,111070
20090201,10,3,-1,8477.4,111070
20090301,10,3,-1,8348.69,111070
20090401,10,3,-1,9292.24,111070
20090501,10,3,-1,8549.66,111070
20090601,10,3,-1,11815.18,111070
20090701,10,3,-1,12488.69,111070
20090801,10,3,-1,10028.49,111070
20090901,10,3,-1,14137.99,111070
20091001,10,3,-1,10261.59,111070
20091101,10,3,-1,6148.06,111070
20091201,10,3,-1,5450.29,111070
20090101,10,5,-1,1517.9,27767
20090201,10,5,-1,2119.31,27767
20090301,10,5,-1,2087.14,27767
20090401,10,5,-1,2323.02,27767
20090501,10,5,-1,2137.38,27767
20090601,10,5,-1,2953.74,27767
20090701,10,5,-1,3122.12,27767
20090801,10,5,-1,2507.08,27767
20090901,10,5,-1,3534.43,27767
20091001,10,5,-1,2565.35,27767
20091101,10,5,-1,1536.99,27767
20091201,10,5,-1,1362.55,27767
20090101,10,9,-1,3035.86,55535
20090201,10,9,-1,4238.7,55535
20090301,10,9,-1,4174.35,55535
20090401,10,9,-1,4646.12,55535
20090501,10,9,-1,4274.83,55535
20090601,10,9,-1,5907.59,55535
20090701,10,9,-1,6244.35,55535
20090801,10,9,-1,5014.25,55535
20090901,10,9,-1,7068.99,55535
20091001,10,9,-1,5130.79,55535
20091101,10,9,-1,3074.03,55535
20091201,10,9,-1,2725.15,55535
20090101,10,2,-1,758.98,13884
20090201,10,2,-1,1059.69,13884
20090301,10,2,-1,1043.61,13884
20090401,10,2,-1,1161.55,13884
20090501,10,2,-1,1068.73,13884
20090601,10,2,-1,1476.92,13884
20090701,10,2,-1,1561.11,13884
20090801,10,2,-1,1253.58,13884
20090901,10,2,-1,1767.28,13884
20091001,10,2,-1,1282.72,13884
20091101,10,2,-1,768.52,13884
20091201,10,2,-1,681.3,13884
20090101,10,4,-1,1517.9,27767
20090201,10,4,-1,2119.31,27767
20090301,10,4,-1,2087.14,27767
20090401,10,4,-1,2323.02,27767
20090501,10,4,-1,2137.38,27767
20090601,10,4,-1,2953.74,27767
20090701,10,4,-1,3122.12,27767
20090801,10,4,-1,2507.08,27767
20090901,10,4,-1,3534.43,27767
20091001,10,4,-1,2565.35,27767
20091101,10,4,-1,1536.99,27767
20091201,10,4,-1,1362.55,27767
20090101,10,1,-1,3794.84,69419
