HotelID,MonthStart,ExpenseCategory,AnnualAmountGBP,MonthlyAmountGBP
LH-2202,2009-01-01 00:00:00.000,Payroll,485487,26828.77
LH-2202,2009-02-01 00:00:00.000,Payroll,485487,32950.77
LH-2202,2009-03-01 00:00:00.000,Payroll,485487,39785.92
LH-2202,2009-04-01 00:00:00.000,Payroll,485487,34706.95
LH-2202,2009-05-01 00:00:00.000,Payroll,485487,40215.87
LH-2202,2009-06-01 00:00:00.000,Payroll,485487,52402.8
LH-2202,2009-07-01 00:00:00.000,Payroll,485487,49857.65
LH-2202,2009-08-01 00:00:00.000,Payroll,485487,49485.76
LH-2202,2009-09-01 00:00:00.000,Payroll,485487,50876.63
LH-2202,2009-10-01 00:00:00.000,Payroll,485487,41984.08
LH-2202,2009-11-01 00:00:00.000,Payroll,485487,36987.39
LH-2202,2009-12-01 00:00:00.000,Payroll,485487,29404.41
LH-2202,2010-01-01 00:00:00.000,Payroll,508779,24030.62
LH-2202,2010-02-01 00:00:00.000,Payroll,508779,38809.65
LH-2202,2010-03-01 00:00:00.000,Payroll,508779,43214.72
LH-2202,2010-04-01 00:00:00.000,Payroll,508779,40537.35
LH-2202,2010-05-01 00:00:00.000,Payroll,508779,42224.61
LH-2202,2010-06-01 00:00:00.000,Payroll,508779,48832
LH-2202,2010-07-01 00:00:00.000,Payroll,508779,56364.06
LH-2202,2010-08-01 00:00:00.000,Payroll,508779,63609.06
LH-2202,2010-09-01 00:00:00.000,Payroll,508779,45351.14
LH-2202,2010-10-01 00:00:00.000,Payroll,508779,43224.87
LH-2202,2010-11-01 00:00:00.000,Payroll,508779,40358.29
LH-2202,2010-12-01 00:00:00.000,Payroll,508779,22222.63
LH-2202,2011-01-01 00:00:00.000,Payroll,541472,35924.62
LH-2202,2011-02-01 00:00:00.000,Payroll,541472,39971.67
LH-2202,2011-03-01 00:00:00.000,Payroll,541472,49068.17
LH-2202,2011-04-01 00:00:00.000,Payroll,541472,43829.63
LH-2202,2011-05-01 00:00:00.000,Payroll,541472,49022.6
LH-2202,2011-06-01 00:00:00.000,Payroll,541472,53646.34
LH-2202,2011-07-01 00:00:00.000,Payroll,541472,52358.52
LH-2202,2011-08-01 00:00:00.000,Payroll,541472,48030.91
LH-2202,2011-09-01 00:00:00.000,Payroll,541472,52578.1
LH-2202,2011-10-01 00:00:00.000,Payroll,541472,50118.57
LH-2202,2011-11-01 00:00:00.000,Payroll,541472,45083.56
LH-2202,2011-12-01 00:00:00.000,Payroll,541472,21839.32
LH-2202,2012-01-01 00:00:00.000,Payroll,486525,22413.06
LH-2202,2012-02-01 00:00:00.000,Payroll,486525,36406.76
LH-2202,2012-03-01 00:00:00.000,Payroll,486525,40802.19
LH-2202,2012-04-01 00:00:00.000,Payroll,486525,32058.27
LH-2202,2012-05-01 00:00:00.000,Payroll,486525,41544.91
LH-2202,2012-06-01 00:00:00.000,Payroll,486525,48536.38
LH-2202,2012-07-01 00:00:00.000,Payroll,486525,50102.87
LH-2202,2012-08-01 00:00:00.000,Payroll,486525,53927.7
LH-2202,2012-09-01 00:00:00.000,Payroll,486525,49552.95
LH-2202,2012-10-01 00:00:00.000,Payroll,486525,46377.79
LH-2202,2012-11-01 00:00:00.000,Payroll,486525,34584.6
LH-2202,2012-12-01 00:00:00.000,Payroll,486525,30217.53
LH-2202,2013-01-01 00:00:00.000,Payroll,489581,24823.1
LH-2202,2013-02-01 00:00:00.000,Payroll,489581,30173.57
LH-2202,2013-03-01 00:00:00.000,Payroll,489581,41003.38
LH-2202,2013-04-01 00:00:00.000,Payroll,489581,48374.86
LH-2202,2013-05-01 00:00:00.000,Payroll,489581,43268.86
LH-2202,2013-06-01 00:00:00.000,Payroll,489581,45194.04
LH-2202,2013-07-01 00:00:00.000,Payroll,489581,57335.27
LH-2202,2013-08-01 00:00:00.000,Payroll,489581,47762.29
LH-2202,2013-09-01 00:00:00.000,Payroll,489581,52435.74
LH-2202,2013-10-01 00:00:00.000,Payroll,489581,42969.68
LH-2202,2013-11-01 00:00:00.000,Payroll,489581,34943.16
LH-2202,2013-12-01 00:00:00.000,Payroll,489581,21297.05
LH-2202,2014-01-01 00:00:00.000,Payroll,529144,25874.12
LH-2202,2014-02-01 00:00:00.000,Payroll,529144,39783.52
LH-2202,2014-03-01 00:00:00.000,Payroll,529144,45977.45
LH-2202,2014-04-01 00:00:00.000,Payroll,529144,46974.14
LH-2202,2014-05-01 00:00:00.000,Payroll,529144,39794.12
LH-2202,2014-06-01 00:00:00.000,Payroll,529144,50593.34
LH-2202,2014-07-01 00:00:00.000,Payroll,529144,61505
LH-2202,2014-08-01 00:00:00.000,Payroll,529144,51629.2
LH-2202,2014-09-01 00:00:00.000,Payroll,529144,50377.08
LH-2202,2014-10-01 00:00:00.000,Payroll,529144,54760.88
LH-2202,2014-11-01 00:00:00.000,Payroll,529144,44743.46
LH-2202,2014-12-01 00:00:00.000,Payroll,529144,17131.7
LH-2202,2015-01-01 00:00:00.000,Payroll,561871,22620.41
LH-2202,2015-02-01 00:00:00.000,Payroll,561871,41922.42
LH-2202,2015-03-01 00:00:00.000,Payroll,561871,51317.68
LH-2202,2015-04-01 00:00:00.000,Payroll,561871,47327.06
LH-2202,2015-05-01 00:00:00.000,Payroll,561871,48812.19
LH-2202,2015-06-01 00:00:00.000,Payroll,561871,58976.58
LH-2202,2015-07-01 00:00:00.000,Payroll,561871,57682.82
LH-2202,2015-08-01 00:00:00.000,Payroll,561871,55702.65
LH-2202,2015-09-01 00:00:00.000,Payroll,561871,64836.11
LH-2202,2015-10-01 00:00:00.000,Payroll,561871,46090.75
LH-2202,2015-11-01 00:00:00.000,Payroll,561871,45776.87
LH-2202,2015-12-01 00:00:00.000,Payroll,561871,20805.48
LH-2202,2016-01-01 00:00:00.000,Payroll,487629,22001.79
LH-2202,2016-02-01 00:00:00.000,Payroll,487629,44987.87
LH-2202,2016-03-01 00:00:00.000,Payroll,487629,36352.09
LH-2202,2016-04-01 00:00:00.000,Payroll,487629,36373.89
LH-2202,2016-05-01 00:00:00.000,Payroll,487629,46626.26
LH-2202,2016-06-01 00:00:00.000,Payroll,487629,40356.69
LH-2202,2016-07-01 00:00:00.000,Payroll,487629,50824.11
LH-2202,2016-08-01 00:00:00.000,Payroll,487629,47672.58
LH-2202,2016-09-01 00:00:00.000,Payroll,487629,57825.46
LH-2202,2016-10-01 00:00:00.000,Payroll,487629,49743.12
LH-2202,2016-11-01 00:00:00.000,Payroll,487629,29056.69
LH-2202,2016-12-01 00:00:00.000,Payroll,487629,25808.45
LH-2202,2009-01-01 00:00:00.000,HealthInsurance,97097,5365.73
LH-2202,2009-02-01 00:00:00.000,HealthInsurance,97097,6590.13
LH-2202,2009-03-01 00:00:00.000,HealthInsurance,97097,7957.15
LH-2202,2009-04-01 00:00:00.000,HealthInsurance,97097,6941.36
LH-2202,2009-05-01 00:00:00.000,HealthInsurance,97097,8043.14
LH-2202,2009-06-01 00:00:00.000,HealthInsurance,97097,10480.52
LH-2202,2009-07-01 00:00:00.000,HealthInsurance,97097,9971.49
LH-2202,2009-08-01 00:00:00.000,HealthInsurance,97097,9897.11
LH-2202,2009-09-01 00:00:00.000,HealthInsurance,97097,10175.28
LH-2202,2009-10-01 00:00:00.000,HealthInsurance,97097,8396.78
LH-2202,2009-11-01 00:00:00.000,HealthInsurance,97097,7397.45
LH-2202,2009-12-01 00:00:00.000,HealthInsurance,97097,5880.86
LH-2202,2010-01-01 00:00:00.000,HealthInsurance,101756,4806.13
LH-2202,2010-02-01 00:00:00.000,HealthInsurance,101756,7761.94
LH-2202,2010-03-01 00:00:00.000,HealthInsurance,101756,8642.96
LH-2202,2010-04-01 00:00:00.000,HealthInsurance,101756,8107.49
LH-2202,2010-05-01 00:00:00.000,HealthInsurance,101756,8444.94
LH-2202,2010-06-01 00:00:00.000,HealthInsurance,101756,9766.42
LH-2202,2010-07-01 00:00:00.000,HealthInsurance,101756,11272.83
LH-2202,2010-08-01 00:00:00.000,HealthInsurance,101756,12721.84
LH-2202,2010-09-01 00:00:00.000,HealthInsurance,101756,9070.25
LH-2202,2010-10-01 00:00:00.000,HealthInsurance,101756,8644.99
LH-2202,2010-11-01 00:00:00.000,HealthInsurance,101756,8071.67
LH-2202,2010-12-01 00:00:00.000,HealthInsurance,101756,4444.53
LH-2202,2011-01-01 00:00:00.000,HealthInsurance,108294,7184.9
LH-2202,2011-02-01 00:00:00.000,HealthInsurance,108294,7994.3
LH-2202,2011-03-01 00:00:00.000,HealthInsurance,108294,9813.6
LH-2202,2011-04-01 00:00:00.000,HealthInsurance,108294,8765.89
LH-2202,2011-05-01 00:00:00.000,HealthInsurance,108294,9804.48
LH-2202,2011-06-01 00:00:00.000,HealthInsurance,108294,10729.23
LH-2202,2011-07-01 00:00:00.000,HealthInsurance,108294,10471.66
LH-2202,2011-08-01 00:00:00.000,HealthInsurance,108294,9606.15
LH-2202,2011-09-01 00:00:00.000,HealthInsurance,108294,10515.58
LH-2202,2011-10-01 00:00:00.000,HealthInsurance,108294,10023.68
LH-2202,2011-11-01 00:00:00.000,HealthInsurance,108294,9016.68
LH-2202,2011-12-01 00:00:00.000,HealthInsurance,108294,4367.85
LH-2202,2012-01-01 00:00:00.000,HealthInsurance,97305,4482.61
LH-2202,2012-02-01 00:00:00.000,HealthInsurance,97305,7281.35
LH-2202,2012-03-01 00:00:00.000,HealthInsurance,97305,8160.44
