HotelID,MonthStart,RevenueType,CurrentBookingsGBP,ForecastedGBP,AnticipatedRevenueGBP
LH-2202,2015-01-01 00:00:00.000,Rooms,24216.73,12108.36,36325.09
LH-2202,2015-02-01 00:00:00.000,Rooms,30596.22,15298.11,45894.33
LH-2202,2015-03-01 00:00:00.000,Rooms,33448.18,16724.09,50172.27
LH-2202,2015-04-01 00:00:00.000,Rooms,14689.98,36724.94,51414.91
LH-2202,2015-05-01 00:00:00.000,Rooms,13885.38,34713.44,48598.82
LH-2202,2015-06-01 00:00:00.000,Rooms,16062.15,40155.37,56217.52
LH-2202,2015-07-01 00:00:00.000,Rooms,11007.41,55037.04,66044.45
LH-2202,2015-08-01 00:00:00.000,Rooms,11614.91,58074.56,69689.47
LH-2202,2015-09-01 00:00:00.000,Rooms,13519.5,67597.5,81117
LH-2202,2015-10-01 00:00:00.000,Rooms,6127.46,36764.76,42892.22
LH-2202,2015-11-01 00:00:00.000,Rooms,6957.33,41743.97,48701.3
LH-2202,2015-12-01 00:00:00.000,Rooms,5420.69,32524.15,37944.85
LH-2202,2013-01-01 00:00:00.000,Rooms,28002.56,14001.28,42003.83
LH-2202,2013-02-01 00:00:00.000,Rooms,24330.79,12165.4,36496.19
LH-2202,2013-03-01 00:00:00.000,Rooms,31682.36,15841.18,47523.54
LH-2202,2013-04-01 00:00:00.000,Rooms,18220.38,45550.96,63771.34
LH-2202,2013-05-01 00:00:00.000,Rooms,14870.17,37175.42,52045.59
LH-2202,2013-06-01 00:00:00.000,Rooms,13917.37,34793.41,48710.78
LH-2202,2013-07-01 00:00:00.000,Rooms,12993.94,64969.71,77963.65
LH-2202,2013-08-01 00:00:00.000,Rooms,11141.4,55706.99,66848.39
LH-2202,2013-09-01 00:00:00.000,Rooms,12445.8,62229.01,74674.81
LH-2202,2013-10-01 00:00:00.000,Rooms,6067.71,36406.29,42474
LH-2202,2013-11-01 00:00:00.000,Rooms,5965.36,35792.14,41757.5
LH-2202,2013-12-01 00:00:00.000,Rooms,6006.84,36041.05,42047.89
LH-2202,2014-01-01 00:00:00.000,Rooms,32937.28,16468.64,49405.92
LH-2202,2014-02-01 00:00:00.000,Rooms,30304,15152,45456
LH-2202,2014-03-01 00:00:00.000,Rooms,36943.77,18471.88,55415.65
LH-2202,2014-04-01 00:00:00.000,Rooms,16136.79,40341.97,56478.76
LH-2202,2014-05-01 00:00:00.000,Rooms,14108.22,35270.56,49378.78
LH-2202,2014-06-01 00:00:00.000,Rooms,15227.19,38067.97,53295.16
LH-2202,2014-07-01 00:00:00.000,Rooms,12919.72,64598.6,77518.32
LH-2202,2014-08-01 00:00:00.000,Rooms,11594.49,57972.43,69566.92
LH-2202,2014-09-01 00:00:00.000,Rooms,11637.66,58188.28,69825.93
LH-2202,2014-10-01 00:00:00.000,Rooms,8453.23,50719.36,59172.59
LH-2202,2014-11-01 00:00:00.000,Rooms,7386.32,44317.92,51704.24
LH-2202,2014-12-01 00:00:00.000,Rooms,5369.15,32214.89,37584.04
LH-2202,2012-01-01 00:00:00.000,Rooms,30911.29,15455.65,46366.94
LH-2202,2012-02-01 00:00:00.000,Rooms,30154.59,15077.29,45231.88
LH-2202,2012-03-01 00:00:00.000,Rooms,32050.42,16025.21,48075.62
LH-2202,2012-04-01 00:00:00.000,Rooms,12695.08,31737.7,44432.78
LH-2202,2012-05-01 00:00:00.000,Rooms,15232.21,38080.53,53312.74
LH-2202,2012-06-01 00:00:00.000,Rooms,15608.57,39021.43,54630
LH-2202,2012-07-01 00:00:00.000,Rooms,11906.41,59532.03,71438.44
LH-2202,2012-08-01 00:00:00.000,Rooms,13311.27,66556.36,79867.63
LH-2202,2012-09-01 00:00:00.000,Rooms,12823.33,64116.65,76939.98
LH-2202,2012-10-01 00:00:00.000,Rooms,7522.2,45133.2,52655.4
LH-2202,2012-11-01 00:00:00.000,Rooms,6733.68,40402.11,47135.79
LH-2202,2012-12-01 00:00:00.000,Rooms,9449.91,56699.46,66149.37
LH-2202,2009-01-01 00:00:00.000,Rooms,34092.45,17046.22,51138.67
LH-2202,2009-02-01 00:00:00.000,Rooms,28539.14,14269.57,42808.71
LH-2202,2009-03-01 00:00:00.000,Rooms,34077.86,17038.93,51116.79
LH-2202,2009-04-01 00:00:00.000,Rooms,13869.32,34673.29,48542.61
LH-2202,2009-05-01 00:00:00.000,Rooms,14648.2,36620.51,51268.71
LH-2202,2009-06-01 00:00:00.000,Rooms,16536.83,41342.06,57878.89
LH-2202,2009-07-01 00:00:00.000,Rooms,11607.9,58039.48,69647.38
LH-2202,2009-08-01 00:00:00.000,Rooms,12919.57,64597.85,77517.42
LH-2202,2009-09-01 00:00:00.000,Rooms,11932.84,59664.22,71597.06
LH-2202,2009-10-01 00:00:00.000,Rooms,6778.86,40673.16,47452.02
LH-2202,2009-11-01 00:00:00.000,Rooms,6883.45,41300.68,48184.13
LH-2202,2009-12-01 00:00:00.000,Rooms,9342,56052.01,65394.01
LH-2202,2016-01-01 00:00:00.000,Rooms,26693.96,13346.98,40040.94
LH-2202,2016-02-01 00:00:00.000,Rooms,34818.91,17409.45,52228.36
LH-2202,2016-03-01 00:00:00.000,Rooms,29203.7,14601.85,43805.55
LH-2202,2016-04-01 00:00:00.000,Rooms,13904.39,34760.98,48665.37
LH-2202,2016-05-01 00:00:00.000,Rooms,16459.06,41147.65,57606.7
LH-2202,2016-06-01 00:00:00.000,Rooms,12515.86,31289.65,43805.51
LH-2202,2016-07-01 00:00:00.000,Rooms,11733.58,58667.91,70401.49
LH-2202,2016-08-01 00:00:00.000,Rooms,10898.71,54493.55,65392.26
LH-2202,2016-09-01 00:00:00.000,Rooms,13519.14,67595.7,81114.84
LH-2202,2016-10-01 00:00:00.000,Rooms,7830.5,46983.02,54813.52
LH-2202,2016-11-01 00:00:00.000,Rooms,5340.61,32043.68,37384.3
LH-2202,2016-12-01 00:00:00.000,Rooms,7628.09,45768.56,53396.65
LH-2202,2010-01-01 00:00:00.000,Rooms,30068.37,15034.19,45102.56
LH-2202,2010-02-01 00:00:00.000,Rooms,29173.54,14586.77,43760.31
LH-2202,2010-03-01 00:00:00.000,Rooms,32493.43,16246.72,48740.15
LH-2202,2010-04-01 00:00:00.000,Rooms,15397.47,38493.66,53891.13
LH-2202,2010-05-01 00:00:00.000,Rooms,14407.48,36018.7,50426.18
LH-2202,2010-06-01 00:00:00.000,Rooms,15219.16,38047.9,53267.07
LH-2202,2010-07-01 00:00:00.000,Rooms,11838.31,59191.53,71029.83
LH-2202,2010-08-01 00:00:00.000,Rooms,14639.97,73199.85,87839.82
LH-2202,2010-09-01 00:00:00.000,Rooms,10806.03,54030.13,64836.15
LH-2202,2010-10-01 00:00:00.000,Rooms,6393.77,38362.61,44756.38
LH-2202,2010-11-01 00:00:00.000,Rooms,6873.82,41242.89,48116.71
LH-2202,2010-12-01 00:00:00.000,Rooms,6576.7,39460.22,46036.93
LH-2202,2011-01-01 00:00:00.000,Rooms,39173.79,19586.9,58760.69
LH-2202,2011-02-01 00:00:00.000,Rooms,29237.7,14618.85,43856.55
LH-2202,2011-03-01 00:00:00.000,Rooms,33260.41,16630.2,49890.61
LH-2202,2011-04-01 00:00:00.000,Rooms,15395.06,38487.66,53882.72
LH-2202,2011-05-01 00:00:00.000,Rooms,15451.61,38629.04,54080.65
LH-2202,2011-06-01 00:00:00.000,Rooms,15333.57,38333.93,53667.51
LH-2202,2011-07-01 00:00:00.000,Rooms,10711.53,53557.67,64269.2
LH-2202,2011-08-01 00:00:00.000,Rooms,11028.76,55143.82,66172.59
LH-2202,2011-09-01 00:00:00.000,Rooms,11566.14,57830.68,69396.82
LH-2202,2011-10-01 00:00:00.000,Rooms,7073.6,42441.58,49515.18
LH-2202,2011-11-01 00:00:00.000,Rooms,7386.05,44316.29,51702.33
LH-2202,2011-12-01 00:00:00.000,Rooms,5812.86,34877.15,40690.01
LH-7450,2015-01-01 00:00:00.000,Rooms,28097.55,14048.78,42146.33
LH-7450,2015-02-01 00:00:00.000,Rooms,35049.99,17524.99,52574.98
LH-7450,2015-03-01 00:00:00.000,Rooms,35372.42,17686.21,53058.63
LH-7450,2015-04-01 00:00:00.000,Rooms,14114.07,35285.17,49399.24
LH-7450,2015-05-01 00:00:00.000,Rooms,13019.87,32549.67,45569.53
LH-7450,2015-06-01 00:00:00.000,Rooms,15267.44,38168.59,53436.03
LH-7450,2015-07-01 00:00:00.000,Rooms,10576.41,52882.05,63458.47
LH-7450,2015-08-01 00:00:00.000,Rooms,11085.19,55425.93,66511.12
LH-7450,2015-09-01 00:00:00.000,Rooms,12793.42,63967.11,76760.53
LH-7450,2015-10-01 00:00:00.000,Rooms,7440.13,44640.75,52080.88
LH-7450,2015-11-01 00:00:00.000,Rooms,7724.89,46349.32,54074.21
LH-7450,2015-12-01 00:00:00.000,Rooms,7142.46,42854.76,49997.22
LH-7450,2013-01-01 00:00:00.000,Rooms,34237.87,17118.93,51356.8
LH-7450,2013-02-01 00:00:00.000,Rooms,31755.16,15877.58,47632.75
LH-7450,2013-03-01 00:00:00.000,Rooms,29685.92,14842.96,44528.87
LH-7450,2013-04-01 00:00:00.000,Rooms,13592.26,33980.65,47572.91
LH-7450,2013-05-01 00:00:00.000,Rooms,18326.07,45815.18,64141.26
LH-7450,2013-06-01 00:00:00.000,Rooms,16539.71,41349.29,57889
LH-7450,2013-07-01 00:00:00.000,Rooms,12205.87,61029.37,73235.25
LH-7450,2013-08-01 00:00:00.000,Rooms,12690.31,63451.53,76141.84
LH-7450,2013-09-01 00:00:00.000,Rooms,12601.28,63006.38,75607.65
LH-7450,2013-10-01 00:00:00.000,Rooms,6960.32,41761.9,48722.22
LH-7450,2013-11-01 00:00:00.000,Rooms,7342.35,44054.1,51396.45
LH-7450,2013-12-01 00:00:00.000,Rooms,6411.31,38467.84,44879.15
LH-7450,2014-01-01 00:00:00.000,Rooms,35312.92,17656.46,52969.37
LH-7450,2014-02-01 00:00:00.000,Rooms,32398.85,16199.42,48598.27
LH-7450,2014-03-01 00:00:00.000,Rooms,25855.29,12927.65,38782.94
LH-7450,2014-04-01 00:00:00.000,Rooms,13957.89,34894.72,48852.61
LH-7450,2014-05-01 00:00:00.000,Rooms,15173.03,37932.58,53105.61
LH-7450,2014-06-01 00:00:00.000,Rooms,16031.28,40078.21,56109.49
LH-7450,2014-07-01 00:00:00.000,Rooms,13067.85,65339.23,78407.07
LH-7450,2014-08-01 00:00:00.000,Rooms,12610.49,63052.47,75662.96
LH-7450,2014-09-01 00:00:00.000,Rooms,12758.73,63793.63,76552.35
LH-7450,2014-10-01 00:00:00.000,Rooms,5778.99,34673.92,40452.91
LH-7450,2014-11-01 00:00:00.000,Rooms,7599.18,45595.1,53194.28
LH-7450,2014-12-01 00:00:00.000,Rooms,6258.01,37548.08,43806.09
LH-7450,2012-01-01 00:00:00.000,Rooms,35806.77,17903.39,53710.16
LH-7450,2012-02-01 00:00:00.000,Rooms,31480.29,15740.15,47220.44
LH-7450,2012-03-01 00:00:00.000,Rooms,37450.52,18725.26,56175.78
LH-7450,2012-04-01 00:00:00.000,Rooms,15213.46,38033.64,53247.1
LH-7450,2012-05-01 00:00:00.000,Rooms,16837.37,42093.42,58930.79
LH-7450,2012-06-01 00:00:00.000,Rooms,14883.67,37209.17,52092.83
LH-7450,2012-07-01 00:00:00.000,Rooms,10983.23,54916.16,65899.4
LH-7450,2012-08-01 00:00:00.000,Rooms,10943.22,54716.08,65659.29
LH-7450,2012-09-01 00:00:00.000,Rooms,12471.39,62356.96,74828.35
LH-7450,2012-10-01 00:00:00.000,Rooms,6205.99,37235.92,43441.9
LH-7450,2012-11-01 00:00:00.000,Rooms,7204.7,43228.2,50432.9
LH-7450,2012-12-01 00:00:00.000,Rooms,7878.1,47268.6,55146.7
LH-7450,2009-01-01 00:00:00.000,Rooms,38262.4,19131.2,57393.6
LH-7450,2009-02-01 00:00:00.000,Rooms,34754.71,17377.35,52132.06
LH-7450,2009-03-01 00:00:00.000,Rooms,34794.38,17397.19,52191.57
LH-7450,2009-04-01 00:00:00.000,Rooms,17656.03,44140.09,61796.12
LH-7450,2009-05-01 00:00:00.000,Rooms,15170.66,37926.66,53097.32
LH-7450,2009-06-01 00:00:00.000,Rooms,16838.7,42096.74,58935.43
LH-7450,2009-07-01 00:00:00.000,Rooms,11093.87,55469.35,66563.22
LH-7450,2009-08-01 00:00:00.000,Rooms,11930.84,59654.18,71585.01
LH-7450,2009-09-01 00:00:00.000,Rooms,11415.18,57075.88,68491.05
LH-7450,2009-10-01 00:00:00.000,Rooms,7759.41,46556.44,54315.85
LH-7450,2009-11-01 00:00:00.000,Rooms,5720.59,34323.52,40044.11
LH-7450,2009-12-01 00:00:00.000,Rooms,8671.99,52031.93,60703.92
LH-7450,2016-01-01 00:00:00.000,Rooms,35110.69,17555.35,52666.04
LH-7450,2016-02-01 00:00:00.000,Rooms,29802.77,14901.39,44704.16
LH-7450,2016-03-01 00:00:00.000,Rooms,33964.09,16982.05,50946.14
LH-7450,2016-04-01 00:00:00.000,Rooms,12551.53,31378.84,43930.37
LH-7450,2016-05-01 00:00:00.000,Rooms,17570.77,43926.94,61497.71
LH-7450,2016-06-01 00:00:00.000,Rooms,14499.86,36249.64,50749.5
LH-7450,2016-07-01 00:00:00.000,Rooms,10337.79,51688.95,62026.74
LH-7450,2016-08-01 00:00:00.000,Rooms,12306.75,61533.75,73840.5
LH-7450,2016-09-01 00:00:00.000,Rooms,12702.71,63513.56,76216.27
LH-7450,2016-10-01 00:00:00.000,Rooms,7457.3,44743.82,52201.12
LH-7450,2016-11-01 00:00:00.000,Rooms,7413.73,44482.4,51896.14
LH-7450,2016-12-01 00:00:00.000,Rooms,7894.5,47366.99,55261.48
LH-7450,2010-01-01 00:00:00.000,Rooms,39160.04,19580.02,58740.06
LH-7450,2010-02-01 00:00:00.000,Rooms,32784.82,16392.41,49177.23
LH-7450,2010-03-01 00:00:00.000,Rooms,37284.45,18642.22,55926.67
LH-7450,2010-04-01 00:00:00.000,Rooms,14025.2,35063,49088.2
LH-7450,2010-05-01 00:00:00.000,Rooms,12916,32290,45206
LH-7450,2010-06-01 00:00:00.000,Rooms,13608.87,34022.18,47631.05
LH-7450,2010-07-01 00:00:00.000,Rooms,12404.3,62021.51,74425.81
LH-7450,2010-08-01 00:00:00.000,Rooms,11505.78,57528.88,69034.65
LH-7450,2010-09-01 00:00:00.000,Rooms,12634.76,63173.81,75808.58
LH-7450,2010-10-01 00:00:00.000,Rooms,7183.75,43102.51,50286.26
LH-7450,2010-11-01 00:00:00.000,Rooms,6818.68,40912.07,47730.75
LH-7450,2010-12-01 00:00:00.000,Rooms,6322.78,37936.66,44259.43
LH-7450,2011-01-01 00:00:00.000,Rooms,41604.84,20802.42,62407.25
LH-7450,2011-02-01 00:00:00.000,Rooms,30480.16,15240.08,45720.25
LH-7450,2011-03-01 00:00:00.000,Rooms,34629.23,17314.62,51943.85
LH-7450,2011-04-01 00:00:00.000,Rooms,16767.93,41919.84,58687.77
LH-7450,2011-05-01 00:00:00.000,Rooms,16793.93,41984.82,58778.74
LH-7450,2011-06-01 00:00:00.000,Rooms,15797.02,39492.55,55289.56
LH-7450,2011-07-01 00:00:00.000,Rooms,11026.99,55134.93,66161.92
LH-7450,2011-08-01 00:00:00.000,Rooms,11774.87,58874.33,70649.2
LH-7450,2011-09-01 00:00:00.000,Rooms,11188.73,55943.65,67132.38
LH-7450,2011-10-01 00:00:00.000,Rooms,7148.63,42891.76,50040.39
LH-7450,2011-11-01 00:00:00.000,Rooms,7331.42,43988.53,51319.95
LH-7450,2011-12-01 00:00:00.000,Rooms,6180.24,37081.42,43261.65
LH-4458,2015-01-01 00:00:00.000,Rooms,32338.31,16169.15,48507.46
LH-4458,2015-02-01 00:00:00.000,Rooms,32579,16289.5,48868.5
LH-4458,2015-03-01 00:00:00.000,Rooms,33023.79,16511.89,49535.68
LH-4458,2015-04-01 00:00:00.000,Rooms,14233.03,35582.58,49815.61
LH-4458,2015-05-01 00:00:00.000,Rooms,15676.84,39192.1,54868.95
LH-4458,2015-06-01 00:00:00.000,Rooms,14835.92,37089.79,51925.71
LH-4458,2015-07-01 00:00:00.000,Rooms,12915.94,64579.69,77495.63
LH-4458,2015-08-01 00:00:00.000,Rooms,12071.83,60359.14,72430.96
LH-4458,2015-09-01 00:00:00.000,Rooms,14061.89,70309.47,84371.36
LH-4458,2015-10-01 00:00:00.000,Rooms,6138.06,36828.39,42966.45
LH-4458,2015-11-01 00:00:00.000,Rooms,7578.49,45470.92,53049.4
LH-4458,2015-12-01 00:00:00.000,Rooms,6495.49,38972.94,45468.43
LH-4458,2013-01-01 00:00:00.000,Rooms,35704.26,17852.13,53556.39
LH-4458,2013-02-01 00:00:00.000,Rooms,28139.07,14069.53,42208.6
LH-4458,2013-03-01 00:00:00.000,Rooms,29343.37,14671.69,44015.06
LH-4458,2013-04-01 00:00:00.000,Rooms,16584.02,41460.06,58044.08
LH-4458,2013-05-01 00:00:00.000,Rooms,14338.44,35846.11,50184.55
LH-4458,2013-06-01 00:00:00.000,Rooms,16019.1,40047.76,56066.86
LH-4458,2013-07-01 00:00:00.000,Rooms,11705.15,58525.77,70230.92
LH-4458,2013-08-01 00:00:00.000,Rooms,14174.69,70873.46,85048.15
LH-4458,2013-09-01 00:00:00.000,Rooms,12117.36,60586.78,72704.14
LH-4458,2013-10-01 00:00:00.000,Rooms,7681.29,46087.73,53769.02
LH-4458,2013-11-01 00:00:00.000,Rooms,7395.8,44374.8,51770.6
LH-4458,2013-12-01 00:00:00.000,Rooms,5612.2,33673.22,39285.42
LH-4458,2014-01-01 00:00:00.000,Rooms,30918.87,15459.43,46378.3
LH-4458,2014-02-01 00:00:00.000,Rooms,32035.1,16017.55,48052.65
LH-4458,2014-03-01 00:00:00.000,Rooms,29750.85,14875.43,44626.28
LH-4458,2014-04-01 00:00:00.000,Rooms,16688.38,41720.96,58409.35
LH-4458,2014-05-01 00:00:00.000,Rooms,15415.57,38538.93,53954.5
LH-4458,2014-06-01 00:00:00.000,Rooms,13567.96,33919.9,47487.87
LH-4458,2014-07-01 00:00:00.000,Rooms,11664.34,58321.71,69986.05
LH-4458,2014-08-01 00:00:00.000,Rooms,11931.9,59659.51,71591.41
LH-4458,2014-09-01 00:00:00.000,Rooms,11972.08,59860.39,71832.47
LH-4458,2014-10-01 00:00:00.000,Rooms,6233.13,37398.78,43631.91
LH-4458,2014-11-01 00:00:00.000,Rooms,7122.69,42736.16,49858.86
LH-4458,2014-12-01 00:00:00.000,Rooms,4631.87,27791.22,32423.09
