DateKey,HotelKey,RevenueTypeKey,CurrentBookingsGBP,ForecastedGBP,AnticipatedRevenueGBP
20150101,1,6,24216.73,12108.36,36325.09
20150201,1,6,30596.22,15298.11,45894.33
20150301,1,6,33448.18,16724.09,50172.27
20150401,1,6,14689.98,36724.94,51414.91
20150501,1,6,13885.38,34713.44,48598.82
20150601,1,6,16062.15,40155.37,56217.52
20150701,1,6,11007.41,55037.04,66044.45
20150801,1,6,11614.91,58074.56,69689.47
20150901,1,6,13519.5,67597.5,81117
20151001,1,6,6127.46,36764.76,42892.22
20151101,1,6,6957.33,41743.97,48701.3
20151201,1,6,5420.69,32524.15,37944.85
20130101,1,6,28002.56,14001.28,42003.83
20130201,1,6,24330.79,12165.4,36496.19
20130301,1,6,31682.36,15841.18,47523.54
20130401,1,6,18220.38,45550.96,63771.34
20130501,1,6,14870.17,37175.42,52045.59
20130601,1,6,13917.37,34793.41,48710.78
20130701,1,6,12993.94,64969.71,77963.65
20130801,1,6,11141.4,55706.99,66848.39
20130901,1,6,12445.8,62229.01,74674.81
20131001,1,6,6067.71,36406.29,42474
20131101,1,6,5965.36,35792.14,41757.5
20131201,1,6,6006.84,36041.05,42047.89
20140101,1,6,32937.28,16468.64,49405.92
20140201,1,6,30304,15152,45456
20140301,1,6,36943.77,18471.88,55415.65
20140401,1,6,16136.79,40341.97,56478.76
20140501,1,6,14108.22,35270.56,49378.78
20140601,1,6,15227.19,38067.97,53295.16
20140701,1,6,12919.72,64598.6,77518.32
20140801,1,6,11594.49,57972.43,69566.92
20140901,1,6,11637.66,58188.28,69825.93
20141001,1,6,8453.23,50719.36,59172.59
20141101,1,6,7386.32,44317.92,51704.24
20141201,1,6,5369.15,32214.89,37584.04
20120101,1,6,30911.29,15455.65,46366.94
20120201,1,6,30154.59,15077.29,45231.88
20120301,1,6,32050.42,16025.21,48075.62
20120401,1,6,12695.08,31737.7,44432.78
20120501,1,6,15232.21,38080.53,53312.74
20120601,1,6,15608.57,39021.43,54630
20120701,1,6,11906.41,59532.03,71438.44
20120801,1,6,13311.27,66556.36,79867.63
20120901,1,6,12823.33,64116.65,76939.98
20121001,1,6,7522.2,45133.2,52655.4
20121101,1,6,6733.68,40402.11,47135.79
20121201,1,6,9449.91,56699.46,66149.37
20090101,1,6,34092.45,17046.22,51138.67
20090201,1,6,28539.14,14269.57,42808.71
20090301,1,6,34077.86,17038.93,51116.79
20090401,1,6,13869.32,34673.29,48542.61
20090501,1,6,14648.2,36620.51,51268.71
20090601,1,6,16536.83,41342.06,57878.89
20090701,1,6,11607.9,58039.48,69647.38
20090801,1,6,12919.57,64597.85,77517.42
20090901,1,6,11932.84,59664.22,71597.06
20091001,1,6,6778.86,40673.16,47452.02
20091101,1,6,6883.45,41300.68,48184.13
20091201,1,6,9342,56052.01,65394.01
20160101,1,6,26693.96,13346.98,40040.94
20160201,1,6,34818.91,17409.45,52228.36
20160301,1,6,29203.7,14601.85,43805.55
20160401,1,6,13904.39,34760.98,48665.37
20160501,1,6,16459.06,41147.65,57606.7
20160601,1,6,12515.86,31289.65,43805.51
20160701,1,6,11733.58,58667.91,70401.49
20160801,1,6,10898.71,54493.55,65392.26
20160901,1,6,13519.14,67595.7,81114.84
20161001,1,6,7830.5,46983.02,54813.52
