WikidataURI,EventName,StartDate,EndDate,EventType,City,Attendance
,London Fashion Week,2010-02-03 00:00:00.000,2010-02-10 00:00:00.000,Fictitious,London,80999
,London Book Fair,2010-03-09 00:00:00.000,2010-03-16 00:00:00.000,Fictitious,London,22397
,London Marathon,2010-04-20 00:00:00.000,2010-04-21 00:00:00.000,Fictitious,London,664776
,Chelsea Flower Show,2010-05-08 00:00:00.000,2010-05-15 00:00:00.000,Fictitious,London,143024
,London Pride,2010-06-24 00:00:00.000,2010-06-28 00:00:00.000,Fictitious,London,306090
,RHS Hampton Court Palace Garden Festival,2010-07-09 00:00:00.000,2010-07-16 00:00:00.000,Fictitious,London,120797
,Notting Hill Carnival,2010-08-13 00:00:00.000,2010-08-16 00:00:00.000,Fictitious,London,946713
,Thames Festival,2010-09-08 00:00:00.000,2010-09-15 00:00:00.000,Fictitious,London,82729
,London Film Festival,2010-10-09 00:00:00.000,2010-10-16 00:00:00.000,Fictitious,London,146770
,London Jazz Festival,2010-11-04 00:00:00.000,2010-11-07 00:00:00.000,Fictitious,London,39870
,Christmas Lights Switch-On - Oxford Street,2010-11-11 00:00:00.000,2010-11-18 00:00:00.000,Fictitious,London,181354
,Lord Mayor's Show,2010-11-12 00:00:00.000,2010-11-19 00:00:00.000,Fictitious,London,591086
,Guy Fawkes Night - Victoria Embankment,2010-11-14 00:00:00.000,2010-11-21 00:00:00.000,Fictitious,London,51156
,London International Horse Show,2010-12-03 00:00:00.000,2010-12-04 00:00:00.000,Fictitious,London,98757
,New Year's Eve Fireworks,2010-12-17 00:00:00.000,2010-12-24 00:00:00.000,Fictitious,London,102615
,London Fashion Week,2011-02-27 00:00:00.000,2011-02-28 00:00:00.000,Fictitious,London,82469
,London Book Fair,2011-03-19 00:00:00.000,2011-03-26 00:00:00.000,Fictitious,London,27258
,London Marathon,2011-04-07 00:00:00.000,2011-04-08 00:00:00.000,Fictitious,London,788883
,Chelsea Flower Show,2011-05-19 00:00:00.000,2011-05-26 00:00:00.000,Fictitious,London,177162
,London Pride,2011-06-19 00:00:00.000,2011-06-26 00:00:00.000,Fictitious,London,292756
,RHS Hampton Court Palace Garden Festival,2011-07-20 00:00:00.000,2011-07-27 00:00:00.000,Fictitious,London,117786
,Notting Hill Carnival,2011-08-21 00:00:00.000,2011-08-24 00:00:00.000,Fictitious,London,1080186
,Thames Festival,2011-09-13 00:00:00.000,2011-09-20 00:00:00.000,Fictitious,London,85030
,London Film Festival,2011-10-25 00:00:00.000,2011-10-28 00:00:00.000,Fictitious,London,153725
,London Jazz Festival,2011-11-09 00:00:00.000,2011-11-12 00:00:00.000,Fictitious,London,42244
,Guy Fawkes Night - Victoria Embankment,2011-11-13 00:00:00.000,2011-11-20 00:00:00.000,Fictitious,London,48579
,Christmas Lights Switch-On - Oxford Street,2011-11-14 00:00:00.000,2011-11-21 00:00:00.000,Fictitious,London,183591
,Lord Mayor's Show,2011-11-17 00:00:00.000,2011-11-24 00:00:00.000,Fictitious,London,593014
,New Year's Eve Fireworks,2011-12-05 00:00:00.000,2011-12-12 00:00:00.000,Fictitious,London,96973
,London International Horse Show,2011-12-28 00:00:00.000,2011-12-28 00:00:00.000,Fictitious,London,86337
,London Fashion Week,2012-02-28 00:00:00.000,2012-02-28 00:00:00.000,Fictitious,London,77343
,London Book Fair,2012-03-11 00:00:00.000,2012-03-18 00:00:00.000,Fictitious,London,23275
,London Marathon,2012-04-23 00:00:00.000,2012-04-24 00:00:00.000,Fictitious,London,758089
,Chelsea Flower Show,2012-05-03 00:00:00.000,2012-05-10 00:00:00.000,Fictitious,London,168905
,London Pride,2012-06-08 00:00:00.000,2012-06-15 00:00:00.000,Fictitious,London,335807
,Notting Hill Carnival,2012-08-06 00:00:00.000,2012-08-09 00:00:00.000,Fictitious,London,968843
,Thames Festival,2012-09-21 00:00:00.000,2012-09-28 00:00:00.000,Fictitious,London,94064
,London Film Festival,2012-10-03 00:00:00.000,2012-10-10 00:00:00.000,Fictitious,London,155389
,Christmas Lights Switch-On - Oxford Street,2012-11-01 00:00:00.000,2012-11-08 00:00:00.000,Fictitious,London,221783
